region,timestamp,pm25,AQI_Category
US Diplomatic Post: New Delhi-8118,2025-01-20T12:30:00.000Z,125.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-20T16:30:00.000Z,211.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T02:30:00.000Z,183.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T06:30:00.000Z,220.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T10:30:00.000Z,199.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T14:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-10T18:30:00.000Z,281.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T21:30:00.000Z,160.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T01:30:00.000Z,128.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T05:30:00.000Z,183.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T09:30:00.000Z,192.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T13:30:00.000Z,164.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T05:30:00.000Z,159.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T09:30:00.000Z,105.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T13:30:00.000Z,142.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T17:30:00.000Z,311.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-16T20:30:00.000Z,228.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T00:30:00.000Z,133.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T04:30:00.000Z,157.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T08:30:00.000Z,116.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T12:30:00.000Z,128.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-17T16:30:00.000Z,144.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-19T04:30:00.000Z,369.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-19T08:30:00.000Z,94.0,Moderate
US Diplomatic Post: New Delhi-8118,2025-01-19T12:30:00.000Z,120.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-19T16:30:00.000Z,230.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-19T19:30:00.000Z,296.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-19T23:30:00.000Z,180.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-20T03:30:00.000Z,159.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-20T07:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-20T11:30:00.000Z,121.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-20T15:30:00.000Z,199.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T04:30:00.000Z,207.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T08:30:00.000Z,207.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T12:30:00.000Z,196.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T16:30:00.000Z,273.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T19:30:00.000Z,243.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-10T23:30:00.000Z,146.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T03:30:00.000Z,143.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T07:30:00.000Z,187.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T11:30:00.000Z,201.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T15:30:00.000Z,135.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T17:30:00.000Z,126.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T20:30:00.000Z,129.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-12T00:30:00.000Z,173.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-12T04:30:00.000Z,137.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-12T08:30:00.000Z,144.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-12T12:30:00.000Z,138.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-12T16:30:00.000Z,217.0,Unhealthy
New Delhi-8118,2025-01-12T19:30:00.000Z,180.0,Unhealthy
New Delhi-8118,2025-01-12T23:30:00.000Z,108.0,Unhealthy
New Delhi-8118,2025-01-13T03:30:00.000Z,106.0,Unhealthy
New Delhi-8118,2025-01-13T07:30:00.000Z,110.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T16:30:00.000Z,127.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T19:30:00.000Z,134.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-11T23:30:00.000Z,159.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-12T03:30:00.000Z,129.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-12T07:30:00.000Z,158.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-12T11:30:00.000Z,149.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-12T15:30:00.000Z,156.0,Unhealthy
New Delhi-8118,2025-01-12T22:30:00.000Z,121.0,Unhealthy
New Delhi-8118,2025-01-13T02:30:00.000Z,88.0,Moderate
New Delhi-8118,2025-01-13T06:30:00.000Z,97.0,Moderate
US Diplomatic Post: New Delhi-8118,2025-01-19T03:30:00.000Z,293.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-19T07:30:00.000Z,187.0,Unhealthy
